Oui	INT	oui
peu	ADV	peu
trop	ADV	trop
d'	PRP	de
arrogance	NOM	arrogance
,	PUN	,
Un	VER:simp	Un
seul	ADJ	seul
degré	NOM	degré
peut-être	ADV	peut-être
en	PRO:PER	en
fait	VER:pres	faire
la	DET:ART	le
différence	NOM	différence
.	SENT	.
Votre	DET:POS	votre
destin	NOM	destin
du	PRP:det	du
sien	PRO:POS	sien
peut-il	NOM	peut-il
mieux	ADV	mieux
s'	PRO:PER	se
approcher	VER:infi	approcher
?	SENT	?
Elle	PRO:PER	elle
naquit	VER:simp	naître
au	PRP:det	au
trône	NOM	trône
où	PRO:REL	où
je	PRO:PER	je
vous	PRO:PER	vous
fais	VER:pres	faire
toucher	VER:infi	toucher
.	SENT	.
Le	DET:ART	le
fils	NOM	fil|fils
de	PRP	de
Stilicon	NAM	Stilicon
la	PRO:PER	la
ferait	VER:cond	faire
peu	ADV	peu
descendre	VER:infi	descendre
,	PUN	,
Après	NAM	Après
que	KON	que
l'	DET:ART	le
empereur	NOM	empereur
s'	PRO:PER	se
est	VER:pres	être
fait	VER:pper	faire
deux	NUM	deux
fois	NOM	foi|fois
son	DET:POS	son
gendre	NOM	gendre
,	PUN	,
Et	NOM	Et
tout	ADV	tout
autre	ADJ	autre
que	KON	que
vous	PRO:PER	vous
se	PRO:PER	se
montrerait	VER:cond	montrer
plus	ADV	plus
vain	ADJ	vain
Du	VER:futu	Du
rang	NOM	rang
d'	PRP	de
impératrice	NOM	impératrice
où	PRO:REL	où
m'	PRO:PER	me
élève	VER:pres	élever
sa	DET:POS	son
main	NOM	main
.	SENT	.
D'	PRP	de
un	DET:ART	un
titre	NOM	titre
si	KON	si
brillant	NOM	brillant
soutenez	VER:pres	soutenir
mieux	ADV	mieux
la	DET:ART	le
gloire	NOM	gloire
,	PUN	,
Le	DET:ART	le
plus	ADV	plus
faible	ADJ	faible
combat	NOM	combat
vous	PRO:PER	vous
offre	VER:pres	offrir
la	DET:ART	le
victoire	NOM	victoire
,	PUN	,
Et	NOM	Et
vengeant	VER:ppre	venger
par	PRP	par
l'	DET:ART	le
oubli	NOM	oubli
votre	DET:POS	votre
amour	NOM	amour
négligé	ADJ	négligé
Brise	VER:subp	briser
les	DET:ART	le
fers	NOM	fer
honteux	ADJ	honteux
dont	PRO:REL	dont
vous	PRO:PER	vous
êtes	VER:pres	être
chargé	VER:pper	charger
.	SENT	.
Ah	INT	ah
,	PUN	,
madame	NOM	madame
,	PUN	,
je	PRO:PER	je
sais	VER:pres	savoir
qu'	KON	que
en	PRP	en
de	PRP	de
si	ADV	si
rudes	ADJ	rude
peines	NOM	peine
C'	ADJ	C'
est	VER:pres	être
par	PRP	par
le	DET:ART	le
seul	ADJ	seul
oubli	NOM	oubli
qu'	PRO:REL	que
on	PRO:PER	on
peut	VER:pres	pouvoir
rompre	VER:infi	rompre
ses	DET:POS	son
chaînes	NOM	chaîne
;	PUN	;
Mais	VER:impf	Mais
lors	ADV	lors
qu'	KON	que
un	DET:ART	un
vrai	ADJ	vrai
mérite	NOM	mérite
en	PRO:PER	en
a	VER:pres	avoir
formé	VER:pper	former
les	DET:ART	le
noeuds	NOM	nœud
,	PUN	,
Un	ABR	Un
coeur	NOM	cœur
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
long-temps	ADJ	long-temps
le	DET:ART	le
maître	NOM	maître
de	PRP	de
ses	DET:POS	son
voeux	NOM	vœu
.	SENT	.
De	PRP	de
l'	DET:ART	le
éclat	NOM	éclat
de	PRP	de
son	DET:POS	son
choix	NOM	choix
l'	DET:ART	le
âme	NOM	âme
préoccupée	ADJ	préoccupé
S'	ADJ	S'
offre	NOM	offre
sans	PRP	sans
cesse	NOM	cesse
aux	PRP:det	au
traits	NOM	trait
qui	PRO:REL	qui
d'	PRP	de
abord	NOM	abord
l'	PRO:PER	la|le
ont	VER:pres	avoir
frappée	VER:pper	frapper
,	PUN	,
Et	NOM	Et
par	PRP	par
sa	DET:POS	son
complaisance	NOM	complaisance
à	PRP	à
nourrir	VER:infi	nourrir
son	DET:POS	son
erreur	NOM	erreur
,	PUN	,
Ouvre	VER:pres	ouvrer|ouvrir
aux	PRP:det	au
sens	NOM	sen|sens
une	DET:ART	un
voie	NOM	voie
à	PRP	à
séduire	VER:infi	séduire
ce	PRO:DEM	ce
coeur	NOM	cœur
.	SENT	.
Comme	KON	comme
par	PRP	par
la	DET:ART	le
raison	NOM	raison
leur	DET:POS	leur
rapport	NOM	rapport
s'	PRO:PER	se
autorise	VER:pres	autoriser
,	PUN	,
D'	ADJ	D'
une	DET:ART	un
aimable	ADJ	aimable
imposture	NOM	imposture
il	PRO:PER	il
aime	VER:pres	aimer
la	DET:ART	le
surprise	NOM	surprise
,	PUN	,
Et	NOM	Et
d'	PRP	de
un	DET:ART	un
trouble	NOM	trouble
inquiet	ADJ	inquiet
goûtant	VER:ppre	goûter
le	DET:ART	le
faux	ADJ	faux
appas	NOM	appas
,	PUN	,
Cède	NAM	Cède
à	PRP	à
mille	NUM	mille
transports	NOM	transport
qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
examine	VER:pres	examiner
pas	ADV	pas
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
par	PRP	par
là	ADV	là
qu'	KON	que
à	PRP	à
soi	PRO:PER	soi
-même	ADJ	même
il	PRO:PER	il
se	PRO:PER	se
rend	VER:pres	rendre
infidèle	ADJ	infidèle
,	PUN	,
Et	NOM	Et
quand	KON	quand
à	PRP	à
la	DET:ART	le
révolte	NOM	révolte
un	DET:ART	un
fier	ADJ	fier
mépris	NOM	mépris
l'	PRO:PER	la|le
appelle	VER:pres	appeler
,	PUN	,
En	NOM	En
vain	ADJ	vain
à	PRP	à
son	DET:POS	son
secours	NOM	secours
on	PRO:PER	on
tâche	VER:pres	tâcher
d'	PRP	de
animer	VER:infi	animer
Cette	NAM	Cette
même	ADJ	même
raison	NOM	raison
qui	PRO:REL	qui
lui	PRO:PER	lui
permit	VER:simp	permettre
d'	PRP	de
aimer	VER:infi	aimer
;	PUN	;
Ce	NAM	Ce
qu'	KON	que
elle	PRO:PER	elle
eut	VER:simp	avoir
de	PRP	de
pouvoir	NOM	pouvoir
pour	PRP	pour
flatter	VER:infi	flatter
son	DET:POS	son
martyre	NOM	martyr|martyre
Se	NAM	Se
trouve	VER:pres	trouver
assujetti	VER:pper	assujettir
sous	PRP	sous
un	DET:ART	un
plus	ADV	plus
fort	ADJ	fort
empire	NOM	empire
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
amour	NOM	amour
qu'	PRO:REL	que
elle	PRO:PER	elle
crût	VER:subi	croire|croître
toujours	ADV	toujours
accompagner	VER:infi	accompagner
Se	NAM	Se
montre	VER:pres	montrer
le	DET:ART	le
tyran	NOM	tyran
de	PRP	de
qui	PRO:REL	qui
le	PRO:PER	le
fit	VER:simp	faire
régner	VER:infi	régner
.	SENT	.
De	PRP	de
ses	DET:POS	son
flammes	NOM	flamme
alors	ADV	alors
on	PRO:PER	on
a	VER:pres	avoir
beau	ADJ	beau
fuir	VER:infi	fuir
l'	DET:ART	le
amorce	NOM	amorce
,	PUN	,
On	NAM	On
aima	VER:simp	aimer
par	PRP	par
surprise	NOM	surprise
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
aimer	VER:infi	aimer
par	PRP	par
force	NOM	force
,	PUN	,
Et	NOM	Et
quoi	PRO:REL	quoi
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
en	PRO:PER	en
souffre	VER:pres	souffrir
,	PUN	,
abandonner	VER:infi	abandonner
ses	DET:POS	son
jours	NOM	jour
À	PRP	à
la	DET:ART	le
nécessité	NOM	nécessité
de	PRP	de
soupirer	VER:infi	soupirer
toujours	ADV	toujours
.	SENT	.
Je	PRO:PER	je
connais	VER:pres	connaître
quel	PRO:REL	quel
espoir	NOM	espoir
à	PRP	à
souffrir	VER:infi	souffrir
vous	PRO:PER	vous
engage	VER:pres	engager
,	PUN	,
Honorius	NAM	Honorius
pour	KON	pour
vous	PRO:PER	vous
doit	VER:pres	devoir
tout	ADV	tout
mettre	VER:infi	mettre
en	PRP	en
usage	NOM	usage
;	PUN	;
Mais	VER:impf	Mais
si	ADV	si
ce	PRO:DEM	ce
grand	ADJ	grand
secours	NOM	secours
,	PUN	,
déjà	ADV	déjà
par	PRP	par
moi	PRO:PER	moi
tenté	VER:pper	tenter
,	PUN	,
N'	NAM	N'
a	VER:pres	avoir
peu	ADV	peu
de	PRP	de
la	DET:ART	le
princesse	NOM	princesse
étonner	VER:infi	étonner
la	DET:ART	le
fierté	NOM	fierté
,	PUN	,
Qu'	NAM	Qu'
espérez	VER:pres	espérer
-vous	PRO:PER	vous
que	ADV	que
fasse	VER:subp	faire
une	DET:ART	un
attaque	NOM	attaque
nouvelle	ADJ	nouveau
Que	VER:simp	Que
l'	PRO:PER	la|le
aigrir	VER:infi	aigrir
contre	PRP	contre
vous	PRO:PER	vous
,	PUN	,
et	KON	et
l'	DET:ART	le
empereur	NOM	empereur
contre	PRP	contre
elle	PRO:PER	elle
?	SENT	?
D'	PRP	de
un	DET:ART	un
volontaire	ADJ	volontaire
choix	NOM	choix
l'	DET:ART	le
amour	NOM	amour
aime	VER:pres	aimer
à	PRP	à
s'	PRO:PER	se
offrir	VER:infi	offrir
,	PUN	,
Et	VER:infi	Et
s'	PRO:PER	se
il	PRO:PER	il
règne	VER:pres	régner
par	PRP	par
force	NOM	force
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
en	PRO:PER	en
saurait	VER:cond	savoir
souffrir	VER:infi	souffrir
.	SENT	.
Aussi	ADV	aussi
ne	ADV	ne
croyez	VER:pres	croire
pas	ADV	pas
que	KON	que
le	PRO:PER	le
mien	PRO:POS	mien
,	PUN	,
quoiqu'extrême	NOM	quoiqu'extrême
,	PUN	,
Voulût	VER:subi	vouloir
pour	PRP	pour
triompher	VER:infi	triompher
employer	VER:infi	employer
que	KON	que
soi	PRO:PER	soi
-même	ADJ	même
,	PUN	,
Et	NOM	Et
que	KON	que
faisant	VER:ppre	faire
agir	VER:infi	agir
un	DET:ART	un
pouvoir	NOM	pouvoir
souverain	ADJ	souverain
,	PUN	,
Quand	NAM	Quand
le	DET:ART	le
coeur	NOM	cœur
se	PRO:PER	se
refuse	VER:pres	refuser
,	PUN	,
il	PRO:PER	il
acceptât	VER:subi	accepter
la	DET:ART	le
main	NOM	main
.	SENT	.
Placidie	NOM	Placidie
est	VER:pres	être
pour	PRP	pour
moi	PRO:PER	moi
le	DET:ART	le
seul	ADJ	seul
objet	NOM	objet
aimable	ADJ	aimable
,	PUN	,
Mais	VER:impf	Mais
d'	PRP	de
un	DET:ART	un
effort	NOM	effort
illustre	ADJ	illustre
on	PRO:PER	on
voit	VER:pres	voir
l'	DET:ART	le
amour	NOM	amour
capable	ADJ	capable
,	PUN	,
Et	VER:simp	Et
puis	ADV	puis
qu'	KON	que
un	DET:ART	un
trône	NOM	trône
seul	ADJ	seul
a	VER:pres	avoir
de	PRP	de
quoi	PRO	quoi
la	PRO:PER	la
charmer	VER:infi	charmer
,	PUN	,
Les	DET:ART	le
effets	NOM	effet
feront	VER:futu	faire
voir	VER:infi	voir
si	KON	si
je	PRO:PER	je
sais	VER:pres	savoir
bien	ADV	bien
aimer	VER:infi	aimer
.	SENT	.
Souvent	ADV	souvent
le	DET:ART	le
désespoir	NOM	désespoir
va	VER:pres	aller
plus	ADV	plus
loin	ADV	loin
qu'	KON	que
on	PRO:PER	on
ne	ADV	ne
pense	VER:pres	penser
.	SENT	.
Non	ADV	non
,	PUN	,
si	KON	si
de	PRP	de
l'	DET:ART	le
empereur	NOM	empereur
...	PUN	...
Le	DET:ART	le
voici	ADV	voici
qui	PRO:REL	qui
s'	PRO:PER	se
avance	VER:pres	avancer
,	PUN	,
Parlez	NAM	Parlez
,	PUN	,
votre	DET:POS	votre
dessein	NOM	dessein
lui	PRO:PER	lui
doit	VER:pres	devoir
être	VER:infi	être
connu	VER:pper	connaître
.	SENT	.
Et	KON	et
bien	ADV	bien
,	PUN	,
madame	NOM	madame
,	PUN	,
enfin	ADV	enfin
qu'	KON	que
avez	VER:pres	avoir
-vous	PRO:PER	vous
obtenu	VER:pper	obtenir
?	SENT	?
Vaincrons-nous	VER:pper	Vaincrons-nous
cet	PRO:DEM	ce
orgueil	NOM	orgueil
dont	PRO:REL	dont
l'	DET:ART	le
indigne	ADJ	indigne
manie	NOM	manie
Aux	VER:subi	Aux
voeux	NOM	vœu
d'	PRP	de
Eucherius	NAM	Eucherius
refuse	VER:pres	refuser
Placidie	NOM	Placidie
?	SENT	?
Se	PRO:PER	se
rend-elle	VER:subp	rend-elle
moins	ADV	moins
fière	ADJ	fier
?	SENT	?
En	PRO:PER	en
viendrons-nous	VER:cond	viendrons-nous
à	PRP	à
bout	NOM	bout
?	SENT	?
Seigneur	NOM	seigneur
,	PUN	,
pour	PRP	pour
la	PRO:PER	la
fléchir	VER:infi	fléchir
je	PRO:PER	je
viens	VER:pres	venir
d'	PRP	de
employer	VER:infi	employer
tout	ADV	tout
;	PUN	;
Mais	VER:impf	Mais
de	PRP	de
son	DET:POS	son
coeur	NOM	cœur
altier	ADJ	altier
l'	DET:ART	le
audace	NOM	audace
téméraire	ADJ	téméraire
Craint	NAM	Craint
peu	ADV	peu
par	PRP	par
ses	DET:POS	son
refus	NOM	refus
d'	PRP	de
aigrir	VER:infi	aigrir
votre	DET:POS	votre
colère	NOM	colère
,	PUN	,
Et	NOM	Et
dans	PRP	dans
l'	DET:ART	le
orgueil	NOM	orgueil
secret	ADJ	secret
qui	PRO:REL	qui
semble	VER:pres	sembler
l'	PRO:PER	la|le
animer	VER:infi	animer
,	PUN	,
Je	PRO:PER	je
plains	VER:pres	plaindre
Eucherius	NAM	Eucherius
s'	KON	si
il	PRO:PER	il
ne	ADV	ne
cesse	VER:pres	cesser
d'	PRP	de
aimer	VER:infi	aimer
.	SENT	.
Quoi	PRO	quoi
?	SENT	?
L'	DET:ART	le
inégal	ADJ	inégal
dehors	NOM	dehors
d'	PRP	de
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
de	PRP	de
naissance	NOM	naissance
Peut	VER:pres	pouvoir
à	PRP	à
tant	ADV	tant
de	PRP	de
fierté	NOM	fierté
porter	VER:infi	porter
son	DET:POS	son
arrogance	NOM	arrogance
,	PUN	,
Et	VER:ppre	Et
l'	DET:ART	le
éclat	NOM	éclat
que	KON	que
sur	PRP	sur
lui	PRO:PER	lui
ma	DET:POS	mon
faveur	NOM	faveur
fait	VER:pres	faire
tomber	VER:infi	tomber
À	PRP	à
de	PRP	de
si	ADV	si
durs	ADJ	dur
mépris	NOM	mépris
ne	ADV	ne
le	PRO:PER	le
peut	VER:pres	pouvoir
dérober	VER:infi	dérober
?	SENT	?
Nous	PRO:PER	nous
verrons	VER:futu	voir
,	PUN	,
puisqu'enfin	ADJ	puisqu'enfin
elle	PRO:PER	elle
veut	VER:pres	vouloir
m'	PRO:PER	me
y	PRO:PER	y
contraindre	VER:infi	contraindre
,	PUN	,
Si	NAM	Si
qui	PRO:REL	qui
m'	PRO:PER	me
ose	VER:pres	oser
braver	VER:infi	braver
peut	VER:pres	pouvoir
n'	ADV	ne
avoir	VER:infi	avoir
rien	ADV	rien
à	PRP	à
craindre	VER:infi	craindre
,	PUN	,
Et	NOM	Et
si	KON	si
,	PUN	,
quand	KON	quand
votre	DET:POS	votre
amour	NOM	amour
a	VER:pres	avoir
mérité	VER:pper	mériter
ma	DET:POS	mon
foi	NOM	foi
,	PUN	,
Mon	NAM	Mon
exemple	NOM	exemple
est	VER:pres	être
pour	PRP	pour
elle	PRO:PER	elle
une	DET:ART	un
honteuse	ADJ	honteux
loi	NOM	loi
.	SENT	.
Qu'	KON	que
on	PRO:PER	on
la	PRO:PER	la
fasse	VER:subp	faire
venir	VER:infi	venir
.	SENT	.
Marcellin	NAM	Marcellin
sort	VER:pres	sortir
.	SENT	.
ah	INT	ah
,	PUN	,
que	PRO:REL	que
voulez	VER:pres	vouloir
-vous	PRO:PER	vous
faire	VER:infi	faire
,	PUN	,
Seigneur	NAM	Seigneur
?	SENT	?
Je	PRO:PER	je
ne	ADV	ne
suis	VER:pres	suivre|être
plus	ADV	plus
un	DET:ART	un
amant	NOM	amant
téméraire	ADJ	téméraire
Et	VER:pper	Et
de	PRP	de
votre	DET:POS	votre
faveur	NOM	faveur
le	DET:ART	le
glorieux	ADJ	glorieux
soutien	NOM	soutien
M'	ADJ	M'
offre	VER:pres	offrir
en	PRP	en
vain	ADJ	vain
une	DET:ART	un
gloire	NOM	gloire
où	PRO:REL	où
je	PRO:PER	je
ne	ADV	ne
prétends	VER:pres	prétendre
rien	ADV	rien
.	SENT	.
Ma	DET:POS	mon
raison	NOM	raison
sur	PRP	sur
mes	DET:POS	mon
sens	NOM	sen|sens
a	VER:pres	avoir
repris	VER:pper	reprendre
son	DET:POS	son
empire	NOM	empire
,	PUN	,
Et	NOM	Et
dans	PRP	dans
l'	DET:ART	le
heureux	ADJ	heureux
projet	NOM	projet
qu'	KON	que
à	PRP	à
ma	DET:POS	mon
flamme	NOM	flamme
elle	PRO:PER	elle
inspire	VER:pres	inspirer
,	PUN	,
Loin	NAM	Loin
que	KON	que
de	PRP	de
son	DET:POS	son
ardeur	NOM	ardeur
j'	PRO:PER	je
ose	VER:pres	oser
attendre	VER:infi	attendre
aucun	PRO:IND	aucun
fruit	NOM	fruit
...	PUN	...
Non	NAM	Non
,	PUN	,
non	ADV	non
,	PUN	,
Eucherius	NAM	Eucherius
,	PUN	,
ta	DET:POS	ton
vertu	NOM	vertu
te	PRO:PER	te
séduit	VER:pres	séduire
,	PUN	,
Et	NAM	Et
veut	VER:pres	vouloir
que	KON	que
je	PRO:PER	je
m'	PRO:PER	me
oppose	VER:pres	opposer
à	PRP	à
l'	DET:ART	le
effort	NOM	effort
magnanime	ADJ	magnanime
,	PUN	,
Qui	NAM	Qui
d'	PRP	de
un	DET:ART	un
refus	NOM	refus
trop	ADV	trop
fier	ADJ	fier
jette	VER:pres	jeter
sur	PRP	sur
toi	PRO:PER	toi
le	DET:ART	le
crime	NOM	crime
.	SENT	.
J'	PRO:PER	je
autorisai	VER:simp	autoriser
ton	DET:POS	ton
choix	NOM	choix
,	PUN	,
et	KON	et
pour	PRP	pour
le	PRO:PER	le
maintenir	VER:infi	maintenir
Je	PRO:PER	je
dois	VER:pres	devoir
vaincre	VER:infi	vaincre
l'	DET:ART	le
orgueil	NOM	orgueil
qui	PRO:REL	qui
cherche	VER:pres	chercher
à	PRP	à
t'	PRO:PER	te
en	PRP	en
punir	VER:infi	punir
.	SENT	.
Non	ADV	non
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
mon	DET:POS	mon
amour	NOM	amour
avait	VER:impf	avoir
trop	ADV	trop
d'	PRP	de
injustice	NOM	injustice
,	PUN	,
Souffrez	VER:pres	souffrir
-en	PRO:PER	en
à	PRP	à
ma	DET:POS	mon
gloire	NOM	gloire
un	DET:ART	un
noble	ADJ	noble
sacrifice	NOM	sacrifice
,	PUN	,
Et	NOM	Et
que	KON	que
l'	DET:ART	le
empressement	NOM	empressement
d'	PRP	de
en	PRO:PER	en
rehausser	VER:infi	rehausser
l'	DET:ART	le
éclat	NOM	éclat
L'	DET:ART	le
immole	VER:pres	immoler
tout	ADV	tout
entier	ADJ	entier
au	PRP:det	au
repos	NOM	repos
de	PRP	de
l'	DET:ART	le
état	NOM	état
.	SENT	.
Après	PRP	après
tant	ADV	tant
de	PRP	de
combats	NOM	combat
dont	PRO:REL	dont
les	DET:ART	le
tristes	ADJ	triste
alarmes	NOM	alarme
Tiennent	NAM	Tiennent
Rome	NAM	Rome
inquiète	ADJ	inquiet
,	PUN	,
et	KON	et
l'	DET:ART	le
Italie	NAM	Italie
en	PRP	en
armes	NOM	arme
,	PUN	,
Le	DET:ART	le
superbe	ADJ	superbe
Alaric	NAM	Alaric
formant	VER:ppre	former
d'	PRP	de
autres	ADJ	autre
projets	NOM	projet
,	PUN	,
Cherche	NAM	Cherche
votre	DET:POS	votre
alliance	NOM	alliance
,	PUN	,
et	KON	et
demande	VER:pres	demander
la	DET:ART	le
paix	NOM	paix
.	SENT	.
Puisque	KON	puisque
dans	PRP	dans
cet	PRO:DEM	ce
accord	NOM	accord
le	DET:ART	le
sang	NOM	sang
